deployment_id,timestamp,service,environment,deployed_by
deploy-0001,2026-01-02T09:14:00,payments-api,production,alice
deploy-0002,2026-01-02T14:32:00,user-service,production,bob
deploy-0003,2026-01-03T10:05:00,payments-api,production,alice
deploy-0004,2026-01-05T11:22:00,reporting-service,production,carol
deploy-0005,2026-01-06T09:45:00,user-service,production,bob
deploy-0006,2026-01-07T15:10:00,payments-api,production,alice
deploy-0007,2026-01-08T10:30:00,notifications,production,dave
deploy-0008,2026-01-09T09:00:00,user-service,production,bob
deploy-0009,2026-01-12T11:15:00,payments-api,production,alice
deploy-0010,2026-01-13T14:00:00,reporting-service,production,carol
deploy-0011,2026-01-14T09:30:00,user-service,production,bob
deploy-0012,2026-01-15T10:45:00,payments-api,production,alice
deploy-0013,2026-01-16T11:00:00,notifications,production,dave
deploy-0014,2026-01-19T09:15:00,user-service,production,bob
deploy-0015,2026-01-20T14:30:00,payments-api,production,alice
deploy-0016,2026-01-21T10:00:00,reporting-service,production,carol
deploy-0017,2026-01-22T09:45:00,user-service,production,bob
deploy-0018,2026-01-23T11:30:00,payments-api,production,alice
deploy-0019,2026-01-26T09:00:00,notifications,production,dave
deploy-0020,2026-01-27T10:15:00,user-service,production,bob
deploy-0021,2026-01-28T14:00:00,payments-api,production,alice
deploy-0022,2026-01-29T09:30:00,reporting-service,production,carol
deploy-0023,2026-01-30T10:45:00,user-service,production,bob
deploy-0024,2026-02-02T09:00:00,payments-api,production,alice
deploy-0025,2026-02-03T11:15:00,user-service,production,bob
deploy-0026,2026-02-04T14:30:00,notifications,production,dave
deploy-0027,2026-02-05T09:45:00,payments-api,production,alice
deploy-0028,2026-02-06T10:00:00,reporting-service,production,carol
deploy-0029,2026-02-09T09:15:00,user-service,production,bob
deploy-0030,2026-02-10T11:30:00,payments-api,production,alice
